titles,category
   수도권 맞춤 대안으로 분골쇄신  vs    민주당도 바뀌겠다 ,Politics
 탈북민 강제북송  보도에 김영호 통일부 장관  사실관계 확인 후 대책 수립 ,Politics
 북한도 하마스식 도발 가능       합의 존폐 공방,Politics
   에스토니아 대통령과 정상회담  어떠한 불법 무력 공격도 용납 안돼 ,Politics
보훈부   정율성 기념사업 중단 흉상 철거  광주시 등에 권고,Politics
강서 보선 패배에   충격  분골쇄신하겠다 ,Politics
윤 대통령  청년 화이트해커  글로벌 최정예 인재로 키워낼 것 ,Politics
강서 참패에 여당 당원 게시판 지도부 책임론 당 체질 개선 분출,Politics
 속보  대통령실  정부  어떤 선거 결과든 엄중히 받아들여야 ,Politics
비명계  강서 압승 경계  승리 도취하면 총선 쇠몽둥이 ,Politics
 오염수 방사능 기준치 초과  vs  시료 점검 결과 문제 없어 ,Economic
영끌족에  개월 연속 늘어난 가계빚   월    조원 증가,Economic
 수험생인척 직원 동원  해커스     억원 과징금 제재받았다,Economic
KT G  카자흐스탄에 새 공장 착공     유럽 수출 전초기지 ,Economic
 반도체 설계 레전드  짐 켈러가 삼성전자 찾는 이유는,Economic
 내년 주택가격 소폭 반등 저물가 저금리 복귀는 쉽지 않아   하나금융연구소 ,Economic
미신고 광고물 설치 때 벌금 대신 과태료 퇴직금 못준 선주엔 반의사불벌죄 적용,Economic
케이뱅크   오늘의 쿠폰  혜택 확대 발급횟수 사용처 늘려,Economic
서울보증보험  내달  일 유가증권시장 상장,Economic
포스코인터내셔널 GS칼텍스 인도네시아에 바이오 정제 시설 짓는다,Economic
유튜버 김용호  부산 호텔서 투신 자살,Social
 속보  검찰  이재명  백현동 특혜 의혹  불구속 기소,Social
수원지검  이화영 김혜경 쌍방울 사건 등 전담팀 운영,Social
 신당역 살인  전주환  오늘 대법 선고 무기징역 확정되나,Social
 화장실에 잠든 여자  병원서 빼돌린 프로포폴 투약한 간호조무사,Social
생후    일 앞둔 쌍둥이 아기 판다  루이바오   후이바오   인사드려요   ,Social
윤희근  실력 있고 당당한 경찰 구현 국민안전 최우선       국감 ,Social
 환불 대란  머지플러스 경영진 남매 징역  년  년 추징금   억,Social
경기도교육청   학교 과밀화 해소 에 중점 둔 조직개편 추진,Social
상품명이  개존맛 김치     출시된 포장 김치에 네티즌 와글와글,Social
음악회에 진심인 회장님  별세 전  년치 공연계획 미리 세웠다,Culture
맑고 일교차 큰 전형적인 가을날 낮 최고      도,Culture
        코리아둘레길  걸어보세요   오늘부터  걷기여행주간 ,Culture
UAE  항공기 운항 횟수    배 늘려달라  국내 항공사 좌불안석,Culture
주말 단풍 보러 갔다가 비  쫄딱  조심 우박 가능성도,Culture
천주교주교회의 의장에 이용훈 주교 연임,Culture
  김남조 시인 영결식 거행    사랑의 시인  영면,Culture
 공화 하원의장 후보에 스컬리스  트럼프 지지 업은 짐 조던 제쳐,World
     세   자녀  까지  밀리터리 퍼스트    만 이스라엘 예비군 쇄도,World
 사우디 빈살만 이란 대통령 첫 통화 중동사태 논의 이 팔 전쟁 ,World
하마스  우리는  년 동안 이스라엘 기습 공격을 준비했다 ,World
이스라엘  가자지구에 지상군 투입 임박   만 대군 집결,World
월가 취업 안될라    하버드생들  이스라엘 규탄성명 철회,World
이  하마스  북한제 로켓  압수,World
   행정부  이란   억달러 자금 재동결 여부 저울질 중 ,World
  정부  통일교 해산명령 청구할 것 ,World
LIG넥스원  방산수출  대강국 도약  클라우드 인프라 필수 ,IT
소비자주권시민회의  SK텔레콤  데이터    GB 이상  G 고가요금 비중     넘어 과도한 수익 ,IT
    대   명 중  명 아이폰 사용 애플뮤직은 경쟁업체에 뒤져,IT
LG CNS  기업용 생성형AI 플랫폼  DAP GenAI  출시,IT
 학생 주민번호 무더기 유출  개인정보위  경북대에 과징금     만원 부과,IT
생명체 탄생 핵심 물 탄소  소행성  베누  에 있다,IT
KT  내년 대기권 닿는  무선 양자 암호통신 기술  만든다,IT
 PASS 모바일 운전면허  금융 공공 분야서 신분증처럼 쓴다,IT
